&	P0	P1	P2	P3	P4	P5	P6	P7	P8	P9	P10	P11	P12	P13	P14	P15	P16	P17	P18	P19
1619	0.14033	0.14327	0.13864	0.1219	0.13521	0.12594	0.13458	0.1116	0.10566	0.12228	0.10369	0.11797	0.12024	0.12546	0.12695	0.13431	0.12626	0.13842	0.12338	0.12884
1618	0.15099	0.1548	0.14046	0.14028	0.13966	0.14579	0.13747	0.12915	0.12941	0.12651	0.13167	0.12376	0.12892	0.14163	0.1282	0.13692	0.13499	0.14751	0.14444	0.14412
1617	0.14973	0.155695	0.151605	0.14553	0.14708	0.14391	0.13662	0.1307	0.13364	0.12663	0.125045	0.128895	0.130545	0.1456	0.13373	0.14454	0.13907	0.146705	0.148495	0.143835
1616	0.14847	0.15659	0.16275	0.15078	0.1545	0.14203	0.13577	0.13225	0.13787	0.12675	0.11842	0.13403	0.13217	0.14957	0.13926	0.15216	0.14315	0.1459	0.15255	0.14355
1615	0.15901	0.16767	0.16805	0.16082	0.15694	0.14669	0.1473	0.13611	0.13933	0.13798	0.13675	0.1421	0.15106	0.14498	0.14399	0.15659	0.15985	0.14779	0.15945	0.15297
1614	0.18049	0.17035	0.16773	0.15995	0.16723	0.16355	0.16299	0.1422	0.13543	0.13943	0.13785	0.15121	0.14233	0.15051	0.15228	0.15373	0.15706	0.16106	0.15607	0.16069
1613	0.17797	0.17747	0.17141	0.17068	0.17422	0.16791	0.17022	0.14248	0.14521	0.14913	0.14952	0.15249	0.15184	0.15352	0.15608	0.16175	0.17177	0.17117	0.16943	0.16964
1612	0.18124	0.18032	0.17566	0.19371	0.17875	0.16206	0.15958	0.15865	0.14341	0.15943	0.14818	0.14944	0.15712	0.16704	0.15482	0.17419	0.16842	0.17845	0.17427	0.17619
1611	0.18355	0.17995	0.17465	0.18411	0.17645	0.1735	0.16532	0.16255	0.1585	0.15234	0.14596	0.14093	0.15841	0.16353	0.16409	0.1676	0.17762	0.17897	0.17174	0.17491
1610	0.18917	0.18541	0.18116	0.19349	0.17737	0.18573	0.18233	0.16115	0.14883	0.15558	0.14758	0.15321	0.15912	0.17004	0.16068	0.1826	0.18311	0.18448	0.18768	0.18161
1609	0.17453	0.19166	0.19209	0.18406	0.18154	0.17827	0.16845	0.16524	0.14257	0.15875	0.15347	0.16286	0.16405	0.16672	0.18326	0.17457	0.18547	0.18317	0.17706	0.18556
1608	0.18717	0.19468	0.18632	0.19281	0.18744	0.18054	0.17714	0.15952	0.17194	0.16619	0.15983	0.1537	0.16223	0.17837	0.16959	0.17641	0.18191	0.18286	0.18349	0.18154
1607	0.18437	0.20146	0.19361	0.20296	0.18925	0.17684	0.17642	0.16961	0.15889	0.16962	0.16852	0.1676	0.16148	0.17453	0.1754	0.19259	0.18673	0.19337	0.17404	0.19136
1606	0.20388	0.21163	0.19871	0.19436	0.18439	0.18206	0.18843	0.18601	0.16784	0.17275	0.1522	0.17543	0.17312	0.19024	0.18376	0.18892	0.17965	0.19673	0.18357	0.18673
1605	0.19691	0.21652	0.20242	0.21403	0.20164	0.19823	0.17889	0.17997	0.17142	0.17931	0.1652	0.16698	0.17441	0.1903	0.18376	0.20102	0.19546	0.20504	0.19806	0.20399
1604	0.19353	0.2168	0.20536	0.21573	0.19755	0.19386	0.18799	0.17763	0.178	0.18627	0.16251	0.16398	0.16784	0.18305	0.19348	0.19268	0.20585	0.19911	0.19367	0.20506
1603	0.208	0.2106	0.21608	0.21498	0.20552	0.20108	0.17879	0.18398	0.16696	0.17775	0.1687	0.16862	0.1756	0.19268	0.19046	0.20019	0.2044	0.20223	0.20048	0.19093
1602	0.20992	0.21072	0.20952	0.20589	0.19982	0.19207	0.19006	0.18155	0.18074	0.17498	0.1712	0.17565	0.16601	0.19429	0.18921	0.20442	0.21283	0.20249	0.19646	0.20651
1601	0.21637	0.21941	0.20642	0.21973	0.21617	0.22177	0.18441	0.17467	0.184	0.17762	0.1786	0.17332	0.17732	0.19384	0.18229	0.21021	0.21063	0.20123	0.19695	0.20783
1600	0.2283	0.23396	0.21869	0.22812	0.22109	0.21178	0.19054	0.20072	0.19452	0.18454	0.18419	0.18529	0.18667	0.20268	0.20031	0.21628	0.20327	0.21656	0.2109	0.2276
1599	0.23352	0.23322	0.22401	0.23446	0.22179	0.21955	0.20361	0.18896	0.19011	0.20065	0.17589	0.18339	0.18221	0.21539	0.20631	0.2113	0.21816	0.22383	0.21895	0.22804
1598	0.21594	0.23484	0.2243	0.22146	0.23188	0.21105	0.20255	0.19752	0.18293	0.18761	0.19137	0.18421	0.19239	0.20608	0.2067	0.22087	0.2124	0.21847	0.21162	0.2179
1597	0.22978	0.22459	0.2233	0.22642	0.21998	0.22047	0.21058	0.19548	0.19281	0.20138	0.18599	0.19901	0.1761	0.20925	0.21681	0.22033	0.22094	0.22491	0.22491	0.2167
1596	0.22416	0.23996	0.22145	0.23529	0.21775	0.2199	0.2088	0.18971	0.18185	0.2046	0.19143	0.20228	0.19341	0.20119	0.20786	0.22597	0.21639	0.23117	0.21505	0.22142
1595	0.22263	0.22722	0.22668	0.23131	0.22248	0.22555	0.21559	0.19492	0.19495	0.18898	0.18274	0.19188	0.18209	0.20262	0.20375	0.21261	0.22852	0.21422	0.20634	0.20956
1594	0.23345	0.22486	0.23129	0.22545	0.22491	0.20542	0.21886	0.19255	0.20922	0.18255	0.18059	0.19393	0.18761	0.21505	0.21012	0.22179	0.21878	0.22818	0.23194	0.22664
1593	0.22157	0.23344	0.23121	0.22594	0.22217	0.21098	0.20649	0.18749	0.18459	0.18355	0.16648	0.18777	0.18645	0.20418	0.21371	0.21202	0.22174	0.21364	0.21375	0.21919
1592	0.21265	0.2355	0.22517	0.23369	0.21695	0.20852	0.20229	0.18959	0.18427	0.1864	0.18128	0.18075	0.18673	0.20114	0.2	0.22671	0.20989	0.22251	0.2048	0.21519
1591	0.21434	0.22991	0.20911	0.22294	0.20428	0.2145	0.20237	0.18303	0.18659	0.19219	0.18434	0.18648	0.18083	0.19808	0.20644	0.20202	0.21443	0.20819	0.20574	0.20913
1590	0.21331	0.21976	0.21508	0.21292	0.21612	0.21112	0.20097	0.18067	0.18114	0.17666	0.16447	0.178	0.17145	0.19344	0.19167	0.20333	0.21396	0.20945	0.20187	0.20388
1589	0.19669	0.21406	0.20851	0.21091	0.2027	0.19705	0.18902	0.17577	0.16945	0.16741	0.16357	0.17191	0.16939	0.18844	0.18538	0.18785	0.20521	0.20043	0.21152	0.19552
1588	0.20443	0.20017	0.19294	0.20698	0.18964	0.20141	0.18249	0.17027	0.16543	0.17812	0.14813	0.17227	0.17525	0.18339	0.17568	0.18418	0.19644	0.18497	0.18113	0.19255
1587	0.19091	0.1867	0.19428	0.19009	0.18553	0.18447	0.17514	0.1588	0.15918	0.1666	0.1531	0.15735	0.15668	0.17821	0.17478	0.18707	0.1821	0.19226	0.18564	0.18663
1586	0.18792	0.1937	0.17752	0.17949	0.17817	0.18141	0.16397	0.15484	0.15719	0.15184	0.14809	0.15399	0.14567	0.1544	0.16825	0.16564	0.17767	0.18259	0.18523	0.18416
1585	0.17453	0.1718	0.17963	0.18195	0.17394	0.1673	0.15861	0.15835	0.15211	0.15652	0.14989	0.14131	0.14229	0.16629	0.1618	0.16136	0.17625	0.17997	0.17121	0.17364
1584	0.14729	0.17346	0.17247	0.17129	0.16893	0.15476	0.15102	0.13671	0.1406	0.14256	0.13277	0.14357	0.13984	0.15695	0.14891	0.16121	0.15061	0.16507	0.15365	0.16617
1583	0.15812	0.15775	0.15643	0.14789	0.16336	0.14498	0.15143	0.13729	0.12915	0.12714	0.13365	0.13973	0.12969	0.13327	0.14851	0.1458	0.15155	0.15056	0.15154	0.16179
1582	0.1527	0.14811	0.14678	0.13644	0.14442	0.13522	0.13503	0.12387	0.11666	0.12419	0.12077	0.12723	0.12265	0.13067	0.13881	0.13536	0.144	0.14383	0.13593	0.15069
1581	0.12784	0.14548	0.13135	0.1456	0.13454	0.1334	0.12377	0.12075	0.11292	0.12338	0.1152	0.11056	0.11975	0.12992	0.1236	0.1279	0.13442	0.14552	0.13231	0.13377
1580	0.13649	0.14619	0.1305	0.13323	0.13724	0.1379	0.11478	0.11002	0.11341	0.11604	0.09976	0.11637	0.11841	0.12019	0.11888	0.1198	0.12579	0.13219	0.13848	0.12643
1579	0.12701	0.12665	0.133	0.13117	0.11438	0.1132	0.12372	0.10861	0.10559	0.11591	0.1027	0.11828	0.10952	0.10088	0.1175	0.12476	0.12563	0.12757	0.12668	0.12993
1578	0.13166	0.12192	0.13393	0.11938	0.13226	0.12223	0.11184	0.11535	0.10747	0.10812	0.10077	0.11162	0.12229	0.11675	0.12399	0.13124	0.12484	0.1293	0.12548	0.12516
1577	0.1273	0.120025	0.12495	0.1251	0.128285	0.115655	0.11788	0.112485	0.113215	0.109935	0.09906	0.11792	0.119115	0.108085	0.11767	0.12575	0.12463	0.124935	0.127075	0.128475
1576	0.12294	0.11813	0.11597	0.13082	0.12431	0.10908	0.12392	0.10962	0.11896	0.11175	0.09735	0.12422	0.11594	0.09942	0.11135	0.12026	0.12442	0.12057	0.12867	0.13179
1575	0.11294	0.11891	0.1099	0.136	0.12015	0.10512	0.11553	0.10649	0.08749	0.10305	0.1034	0.1066	0.1138	0.10742	0.11123	0.12292	0.11326	0.11752	0.12351	0.1268
1574	0.11774	0.12063	0.1089	0.11222	0.12224	0.11066	0.11672	0.10813	0.10176	0.11534	0.103	0.10169	0.10774	0.12122	0.11432	0.11409	0.10791	0.12619	0.11797	0.11551
1573	0.12496	0.12683	0.11544	0.12851	0.12141	0.12241	0.11769	0.09561	0.1063	0.10493	0.09687	0.11007	0.09217	0.10932	0.11269	0.12122	0.11977	0.11479	0.11896	0.12099
1572	0.134	0.13768	0.12073	0.11805	0.12199	0.12078	0.11223	0.11322	0.11711	0.11532	0.09879	0.11029	0.09758	0.1117	0.10698	0.11948	0.11618	0.11815	0.12357	0.12077
1571	0.12801	0.12962	0.12181	0.13171	0.13082	0.13142	0.12567	0.11144	0.12328	0.11402	0.11348	0.12006	0.11255	0.12786	0.11329	0.11216	0.12973	0.12546	0.12394	0.12787
1570	0.13362	0.14224	0.14437	0.14134	0.1309	0.1442	0.13152	0.12197	0.13116	0.14797	0.12512	0.13195	0.13063	0.1284	0.12985	0.13355	0.14431	0.14125	0.14734	0.14556
